"rank","points","status","profile url","name","joined","gold medals","silver medals","bronze medals"
"678","111","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/suddharshan","Suddharshan S","5 years ago","0","0","133"
"679","111","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hamdallak","Hamdalla  F. Kareem","3 years ago","3","9","56"
"680","111","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tariqsays","Muhammad Tariq","2 years ago","1","2","59"
"681","111","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/h053473666","Alien","2 years ago","6","5","55"
"682","110","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tonyrobinson","Tony Robinson","8 years ago","6","5","120"
"683","110","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jacekpoplawski","Jacek Poplawski","5 years ago","9","20","351"
"684","110","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/phanttan","Tan Phan","3 years ago","0","2","114"
"685","110","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nikhiljohnk","Nikhil John","3 years ago","4","7","139"
"686","110","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dmitryuarov","Dmitry Uarov","2 years ago","1","4","155"
"687","109","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/brianfeeny","Signal","10 years ago","7","12","132"
"688","109","https://www.kaggle.com/static/images/tiers/grandmaster@96.png","https://www.kaggle.com/carloshuertas","NxGTR","8 years ago","59","93","448"
"689","109","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/atom1231","atom1231","5 years ago","6","7","70"
"690","109","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/greatgamedota","GreatGameDota","3 years ago","14","13","168"
"691","109","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/frankmollard","🌵","3 years ago","1","10","204"
"692","109","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fahadmehfoooz","Fahad Mehfooz","2 years ago","0","1","231"
"693","109","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hijest","radmirkaz","a year ago","1","1","133"
"694","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/maulberto3","Mauricio Maroto","6 years ago","0","2","103"
"695","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nlztrk","Anıl Öztürk","4 years ago","2","7","42"
"696","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bestpredict","DIKW","4 years ago","6","6","46"
"697","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mumeryasin","M. Umer Yasin","3 years ago","0","2","86"
"698","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vaske93","Vaske93","2 years ago","1","7","114"
"699","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ahmedaliomar","Ahmed Ali Omar","2 years ago","0","1","112"
"700","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sinclairg","Sinclair","2 years ago","0","0","96"
"701","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/calebreigada","Caleb Reigada","2 years ago","0","0","131"
"702","108","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shariful07","MD Shariful Islam","4 months ago","1","2","78"
"703","107","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mikecho","Michał Choiński","5 years ago","3","9","54"
"704","107","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/brendan45774","Brenda N","4 years ago","1","1","242"
"705","107","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/miguelquiceno","Miguel Quiceno","2 years ago","3","1","80"
"706","106","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/danofer","Dan Ofer","9 years ago","5","12","181"
"707","106","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rsesha","RSESHA","6 years ago","1","3","157"
"708","106","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/felipekitamura","FelipeKitamura","6 years ago","4","7","58"
"709","106","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rsa013","Ryan Armstrong","4 years ago","3","6","101"
"710","106","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sreshta140","Sreshta Putchala","3 years ago","0","0","255"
"711","106","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shivkumarganesh","Shiv Kumar Ganesh","2 years ago","0","3","112"
"712","106","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mysarahmadbhat","mysar ahmad bhat","a year ago","0","1","225"
"713","105","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/a763337092","Lindada","6 years ago","8","5","52"
"714","105","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ekrembayar","Ekrem Bayar","5 years ago","2","1","410"
"715","105","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/moewie94","DatNT","4 years ago","8","7","78"
"716","105","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gazu468","Gaju Ahmed","4 years ago","1","10","60"
"717","105","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/igorkf","Igor Kuivjogi Fernandes","3 years ago","2","2","103"
"718","105","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/louieshao","Shihao Shao","2 years ago","5","3","62"
"719","105","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sandhyakrishnan02","SandhyaKrishnan02","a year ago","3","2","94"
"720","104","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lucabasa","Luca Basanisi","5 years ago","4","12","334"
"721","104","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hengzheng","Heng Zheng","5 years ago","2","11","68"
"722","104","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bsridatta","datta","5 years ago","4","2","59"
"723","104","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/poojajain22","Pooja Jain","2 years ago","2","2","68"
"724","104","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/azmainmorshed","Azmain Morshed","2 years ago","1","2","83"
"725","104","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vinayaktiwari28","Vinayak Tiwari","a year ago","2","0","67"
"726","104","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/himanshunayal","Himanshu Nayal","8 months ago","0","4","99"
"727","103","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/christoffer","Christoffer Karlsson","9 years ago","2","14","124"
"728","103","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/roydatascience","Ashish Gupta","4 years ago","12","15","193"
"729","103","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/doanquanvietnamca","Manh Lab","3 years ago","11","7","117"
"730","103","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mviola","Massimiliano Viola","2 years ago","5","12","109"
"731","103","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mltuts","MLTUT","2 years ago","0","4","84"
"732","103","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yogidsba","Yogita Darade","2 years ago","1","3","178"
"733","102","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dott1718","dott","9 years ago","8","16","56"
"734","102","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kevinkwan","Kevin Kwan","3 years ago","0","0","115"
"735","102","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sidharth178","Sidharth Kumar Mohanty","2 years ago","4","0","54"
"736","102","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/varunnagpalspyz","Varun Nagpal Spyz","8 months ago","0","0","115"
"737","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mmotoki","Matt Motoki","7 years ago","9","4","52"
"738","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fabiendaniel","FabienDaniel","6 years ago","7","23","200"
"739","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nyleve","yukiya","5 years ago","4","4","185"
"740","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kaushal2896","Kaushal Shah","4 years ago","7","12","145"
"741","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/friedchips","Markus","4 years ago","11","11","64"
"742","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/neomatrix369","Mani Sarkar","4 years ago","3","10","212"
"743","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ivanpan","Ivan Panshin","4 years ago","10","14","74"
"744","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/andy8744","Andy8744","3 years ago","1","3","56"
"745","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ishaanthareja007","Ishaan Thareja","8 months ago","1","0","124"
"746","101","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vysakhvms","Vysakh M S","5 months ago","1","1","70"
"747","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aravindram11","Aravind Ram Nathan","7 years ago","1","3","172"
"748","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/longyin2","LongYin/杰少","5 years ago","9","15","282"
"749","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mhviraf","Massoud Hosseinali","5 years ago","17","19","226"
"750","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/quandapro","Quan","3 years ago","7","10","87"
"751","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/amolambkar","Amol Ambkar","3 years ago","0","3","248"
"752","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tomdenton","Tom Denton","3 years ago","6","11","41"
"753","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bhartiprasad17","BHARTI PRASAD","2 years ago","0","0","253"
"754","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/w3579628328","DiamondH","10 months ago","2","1","69"
"755","100","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ltrahul","Rahul Prasad M.","3 months ago","0","0","87"
"756","99","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/datajmcn","James McNeill","7 years ago","0","2","117"
"757","99","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/roguekk007","XingJian Lyu","4 years ago","13","13","98"
"758","99","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alexteboul","Alex Teboul","4 years ago","4","3","47"
"759","99","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/manikanthr5","Manikanth Reddy","2 years ago","5","7","70"
"760","99","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kavehshahhosseini","Kaveh Shahhosseini","2 years ago","2","3","84"
"761","99","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chienhsianghung","Chien-Hsiang Hung","2 years ago","4","2","83"
"762","99","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/stefanschulmeister87","stefan schulmeister","a year ago","1","2","143"
"763","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/hmendonca","Henrique Mendonça","7 years ago","9","12","189"
"764","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bminixhofer","Benjamin Minixhofer","6 years ago","9","16","98"
"765","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/soheiltehranipour","Soheil Tehranipour","4 years ago","1","1","66"
"766","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rinnqd","Firas Baba","4 years ago","15","17","85"
"767","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vanle73","van73","4 years ago","3","11","41"
"768","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/projdev","FGPC","3 years ago","4","13","209"
"769","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gauravduttakiit","Gaurav Dutta","2 years ago","1","3","135"
"770","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vikasukani","Vikas Ukani","2 years ago","2","8","245"
"771","98","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/abdalrahmanshahrour","Abdalrahman Shahrour","7 months ago","0","1","89"
"772","97","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/marcinstasko","MarcinStaśko","7 years ago","2","5","69"
"773","97","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/snippsy","Erik","5 years ago","3","5","153"
"774","97","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/koza4ukdmitrij","Dmitrij Kozachuk","4 years ago","12","9","114"
"775","97","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/appian","Appian","4 years ago","15","13","104"
"776","97","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/manikanthgoud","manikanth","4 years ago","1","1","77"
"777","97","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mhslearner","ANIBAH","2 years ago","4","5","64"
"778","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/maxhalford","Max Halford","8 years ago","13","15","109"
"779","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kurianbenoy","Kurian Benoy","5 years ago","2","6","223"
"780","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gianetan","Gianetan","5 years ago","0","0","96"
"781","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/carlolepelaars","Carlo Lepelaars","4 years ago","9","13","362"
"782","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sarques","Gajendra Saraswat","4 years ago","1","11","267"
"783","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/shivanirana63","Shivani Rana","2 years ago","4","3","78"
"784","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/egeakyol","Ege Akyol","2 years ago","0","0","120"
"785","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/outwrest","outwrest","2 years ago","2","6","46"
"786","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ammarnassanalhajali","Ammar Alhaj Ali","2 years ago","1","1","150"
"787","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/odaymourad","Oday Mourad","a year ago","0","1","85"
"788","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alexanderbader","Alexander Bader","a year ago","0","2","174"
"789","96","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alanjo","Alan Jo","7 months ago","0","1","86"
"790","95","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/harshit92","HarshitMehta","6 years ago","3","15","145"
"791","95","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yosukeyama","YYama","4 years ago","2","5","66"
"792","95","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/veeralakrishna","NoLogic","4 years ago","0","9","560"
"793","95","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/kiranchowdary","Kiran Chowdary","2 years ago","3","6","104"
"794","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sakvaua","DennisSakva","7 years ago","6","19","128"
"795","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/andrewmvd","Larxel","6 years ago","4","5","90"
"796","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bigironsphere","RNA","5 years ago","11","17","170"
"797","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jorijnsmit","J.J.H. Smit","4 years ago","3","9","148"
"798","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/purumalgi","Purushottam Malgi","3 years ago","1","3","118"
"799","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yhirakawa","shoku-pan","2 years ago","7","7","53"
"800","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mruanova","Mau Rua","2 years ago","1","2","219"
"801","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vidiqlogy","Iqbal Ali","a year ago","0","1","96"
"802","94","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vexxingbanana","Ari","a year ago","2","2","49"
"803","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/slobo777","Neil Slater","10 years ago","9","40","419"
"804","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/paddykb","Patrick Blackwill","8 years ago","1","2","83"
"805","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/laevatein","Laevatein","6 years ago","8","6","56"
"806","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/vineethakkinapalli","Vineeth","5 years ago","2","0","150"
"807","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/l0glikelihood","kss","5 years ago","3","6","50"
"808","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jiny333","SDSTony","5 years ago","2","3","101"
"809","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/felipefonte99","Felipe Loque","4 years ago","9","7","67"
"810","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ptran1203","Phat Tran","3 years ago","3","5","58"
"811","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/susant4learning","Susant_Achary🎲","3 years ago","0","2","206"
"812","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/chaudharypriyanshu","Priyanshu Chaudhary","2 years ago","3","6","67"
"813","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/uniabhi","Abhishek Kumar","2 years ago","1","8","108"
"814","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/js1312","Jay Shah","2 years ago","4","1","102"
"815","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tomods","Tomo_DS","2 years ago","1","1","103"
"816","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gauravtopre","Gaurav Topre","a year ago","2","3","68"
"817","93","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ac1414","Abir CHakraborty","7 months ago","0","0","89"
"818","92","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tobiit","Tobias Tesch","5 years ago","4","6","80"
"819","92","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bhavesh0124","Bhavesh Bisht","3 years ago","1","4","54"
"820","92","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/seungbumlim","Seungbum Lim","2 years ago","0","0","142"
"821","92","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/halimedogan","Halime Doğan","2 years ago","0","0","125"
"822","92","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/elenaeb","ElenaEB","2 years ago","1","5","111"
"823","92","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/infinator","Suraj Das","a year ago","0","0","105"
"824","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jeongyoonlee","Jeong-Yoon Lee","11 years ago","9","18","83"
"825","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/darraghdog","Darragh","8 years ago","10","12","112"
"826","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/manojprabhaakr","Manoj Prabhakar","7 years ago","4","11","227"
"827","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/simakov","DmitryS","6 years ago","12","8","55"
"828","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bryanb","BryanB","6 years ago","2","12","119"
"829","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mcggood","MaChaogong","5 years ago","3","11","81"
"830","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/micheomaano","Salman","3 years ago","6","7","70"
"831","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/andls555","Mohamed Elsayed","7 months ago","0","0","103"
"832","91","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/madhurpant","Madhur Pant","5 months ago","0","4","59"
"833","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/muhammad4hmed","Muhammad Ahmed","3 years ago","2","4","60"
"834","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aimack","Akash Dey","3 years ago","2","0","93"
"835","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bannourchaker","Bannour chaker","3 years ago","1","5","52"
"836","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/japandata509","Kaito","2 years ago","1","3","218"
"837","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/yvtsanlevy","Yvtsan Levy","2 years ago","1","1","119"
"838","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mahmoudlimam","Mahmoud Limam","2 years ago","0","0","161"
"839","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/thomasdubail","Thomas","2 years ago","0","2","106"
"840","90","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bhavikardeshna","Bhavik Ardeshna","2 years ago","1","1","68"
"841","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lhagiimn","lhagiimn","6 years ago","3","16","54"
"842","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/rapela","Heitor Rapela Medeiros","5 years ago","3","4","95"
"843","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/fchmiel","FChmiel","4 years ago","6","10","152"
"844","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mahipalsingh","Mahipal Singh","3 years ago","2","1","56"
"845","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/aryashah2k","Arya Shah","2 years ago","1","4","51"
"846","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alekseyromanovich","Alexei Romanovich Krot","2 years ago","1","6","117"
"847","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lostinworlds","Lost in worlds","8 months ago","0","1","90"
"848","89","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/renadope","Renado Paria","3 months ago","0","0","82"
"849","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/statsbymichaellopez","Michael Lopez","8 years ago","7","10","59"
"850","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/houndcl","human intelligence","6 years ago","6","3","45"
"851","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/alexfir","Alexander Firsov","5 years ago","15","19","116"
"852","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/miklgr500","Welf Crozzo","5 years ago","8","10","68"
"853","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mightyrains","Mighty Rains","4 years ago","3","11","91"
"854","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/wonjunpark","Wonjun Park🏆","3 years ago","6","7","51"
"855","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/jaykumar1607","Jay","2 years ago","1","0","181"
"856","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/ganiesenov","Gani Esenov","2 years ago","1","2","54"
"857","88","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/seongwook93","SeongwookLee","a year ago","3","4","56"
"858","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bopengiowa","Bo Peng","7 years ago","2","5","171"
"859","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sandy1112","sandy1112","6 years ago","4","10","162"
"860","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/dienhoa","DHoa","5 years ago","2","3","52"
"861","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/quadeer15sh","Quadeer Shaikh","4 years ago","2","0","62"
"862","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bhuppi2898","Bhupender Singh","3 years ago","0","0","148"
"863","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/d4rklucif3r","Arsh Anwar","2 years ago","2","0","130"
"864","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/sarthmirashi07","Sarth Mirashi","2 months ago","1","2","57"
"865","87","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/bellapisani","Bella Pisani","a month ago","0","2","72"
"866","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/humananalog","Human Analog","6 years ago","8","15","175"
"867","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/takuok","takuoko","6 years ago","6","8","60"
"868","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/gomes555","Fellipe Gomes","5 years ago","3","3","160"
"869","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tarique7","tarick.morty","5 years ago","4","8","83"
"870","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/go5kuramubon","pao","5 years ago","7","3","48"
"871","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/nageshsingh","Nagesh Singh Chauhan","4 years ago","0","0","236"
"872","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/lykin22","Ishan Kotian","3 years ago","0","0","199"
"873","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/foolofatook","Aayush Jain","2 years ago","5","7","150"
"874","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/xuxu1234","xuxu_sky","2 years ago","4","2","67"
"875","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/mahsazamanifard","Mahsa Zamanifard","a year ago","1","1","58"
"876","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/tgwstr","chinchilla","10 months ago","1","2","49"
"877","86","https://www.kaggle.com/static/images/tiers/expert@96.png","https://www.kaggle.com/saberghaderi","Saber","6 months ago","0","0","75"
